"","firm","culture","tenure","employments","sim_no","var_win","cond"
"1",1,0.338483063836163,19.2199699005234,2,1,0.1,1
"2",1,0.208998952527043,0.890599749901912,2,1,0.1,1
"3",1,0.271103072313019,11.1441982063309,1,1,0.1,1
"4",1,0.280679291565043,10.9292519400862,3,1,0.1,1
"5",1,0.280805212633782,16.9327344076588,2,1,0.1,1
"6",1,0.0129247366342413,12.1809572522368,2,1,0.1,1
"7",1,0.180395785933547,26.4989731053065,1,1,0.1,1
"8",1,0.392867661104965,4.36049236334475,2,1,0.1,1
"9",1,0.0751696412789087,10.6940514020873,1,1,0.1,1
"10",1,0.222607844703971,2.51383537942663,1,1,0.1,1
"11",1,0.283403104094618,29.1346770670158,1,1,0.1,1
"12",1,0.0917224685755598,12.2183816320944,1,1,0.1,1
"13",1,0.103139078899291,16.1837545064897,2,1,0.1,1
"14",1,0.288543690049654,30.2307885357195,1,1,0.1,1
"15",1,0.0532276472737548,6.54508055292253,2,1,0.1,1
"16",1,0.164139042368498,11.1342009382238,1,1,0.1,1
"17",1,0.195076289901048,11.4178010633891,2,1,0.1,1
"18",1,0.300806107700335,11.9927877934175,2,1,0.1,1
"19",1,0.13066271723249,9.04384495022528,2,1,0.1,1
"20",1,0.510568896366554,15.1134501074554,3,1,0.1,1
"21",1,0.21186702462858,9.17404224259017,2,1,0.1,1
"22",1,0.239926345219374,24.1041991738953,3,1,0.1,1
"23",1,0.302849535371785,17.7430090094778,1,1,0.1,1
"24",1,0.194716823540781,23.1569628724006,2,1,0.1,1
"25",1,0.308973862184687,14.4020671042814,2,1,0.1,1
"26",1,0.293122862329061,7.58660975029232,3,1,0.1,1
"27",1,0.19179547037865,15.4899796006187,2,1,0.1,1
"28",1,0.164299625945144,423.215557190456,1,1,0.1,1
"29",1,0.296228230503975,7.71847402791352,2,1,0.1,1
"30",1,0.183398599406377,9.12404954833481,1,1,0.1,1
"31",2,0.560110447860623,2.86070570792687,1,1,0.1,1
"32",2,0.296875889018401,3.86141214282886,1,1,0.1,1
"33",2,0.327592830585872,9.22980781516156,2,1,0.1,1
"34",2,0.386990630727185,41.1180150785114,2,1,0.1,1
"35",2,0.354941584198785,51.2295365080603,1,1,0.1,1
"36",2,0.256326258068705,3.08724342248634,2,1,0.1,1
"37",2,0.435344641614944,116.555683961564,2,1,0.1,1
"38",2,0.48312719794836,12.2123287031811,1,1,0.1,1
"39",2,0.471788128206037,7.74925021780039,1,1,0.1,1
"40",2,0.600573202373295,17.0763364688931,1,1,0.1,1
"41",2,0.548806895688446,4.76645198676549,1,1,0.1,1
"42",2,0.303855125329267,14.8199471120372,1,1,0.1,1
"43",2,0.248058005475357,12.1620757175495,3,1,0.1,1
"44",2,0.307500633704885,33.8607592080858,2,1,0.1,1
"45",2,0.506545577102944,29.4595488415406,2,1,0.1,1
"46",2,0.352149656042226,4.29124106522694,2,1,0.1,1
"47",2,0.348864554790678,10.8010540253754,1,1,0.1,1
"48",2,0.374828076162166,25.9345995286703,1,1,0.1,1
"49",2,0.471714003822646,24.9157415385442,1,1,0.1,1
"50",2,0.568880359225771,17.427055192277,1,1,0.1,1
"51",2,0.415600324734226,10.7814324289256,2,1,0.1,1
"52",2,0.345798864808123,19.0465282798886,1,1,0.1,1
"53",2,0.375913687813438,26.8507756046327,2,1,0.1,1
"54",2,0.470842121495618,127.660711018478,1,1,0.1,1
"55",2,0.442961919163878,6.51866039402428,2,1,0.1,1
"56",2,0.386593091017644,8.14453803246393,1,1,0.1,1
