"","firm","culture","tenure","employments","sim_no","var_win","n_paragon","cond"
"1",1,-0.466177139719634,26.4340511231738,1,1,0.3,180,1
"2",1,0.510021551264672,24.3011992802095,1,1,0.3,180,1
"3",1,-0.0234870074168269,31.0611274582043,1,1,0.3,180,1
"4",1,0.00029565161527817,12.2186975923874,2,1,0.3,180,1
"5",1,-0.630775862001223,3.31525205928241,2,1,0.3,180,1
"6",1,-0.149090362951221,4.26614924329127,2,1,0.3,180,1
"7",1,0.337130957522624,9.44673755746399,2,1,0.3,180,1
"8",1,-0.477392189533242,25.4164126877866,2,1,0.3,180,1
"9",1,-0.408856479496589,45.4606064943265,2,1,0.3,180,1
"10",1,-1.02691132867542,11.9468751067832,2,1,0.3,180,1
"11",1,0.119369993762674,3.25883568196102,1,1,0.3,180,1
"12",1,-0.0526581813439427,40.2553449006801,1,1,0.3,180,1
"13",1,-0.780249481618594,4.38715696240909,2,1,0.3,180,1
"14",1,-0.377549676576514,6.51386889792678,2,1,0.3,180,1
"15",1,-0.496016633241713,9.41502823313149,1,1,0.3,180,1
"16",1,-0.274029707691785,8.39042543583156,1,1,0.3,180,1
"17",1,0.0944373314704181,3.05249731335281,2,1,0.3,180,1
"18",1,-0.802736891088777,35.0526083366578,2,1,0.3,180,1
"19",1,-0.44069110442996,1.7915738099098,1,1,0.3,180,1
"20",1,-0.472919874494354,15.3028544046021,1,1,0.3,180,1
"21",1,-0.288459312777372,18.998689526006,2,1,0.3,180,1
"22",1,-0.225063537790764,5.56233023650613,2,1,0.3,180,1
"23",1,-0.574496634529013,27.1345797500031,2,1,0.3,180,1
"24",1,-0.337745403888029,3.27377628350846,3,1,0.3,180,1
"25",1,0.0251263158532953,15.6900036264499,1,1,0.3,180,1
"26",1,-0.157354210272749,10.1506037309872,2,1,0.3,180,1
"27",1,0.0157295901199793,38.9176599002892,3,1,0.3,180,1
"28",1,-0.274371948223444,7.97132762516456,1,1,0.3,180,1
"29",1,0.0463106770552507,10.0279415615809,2,1,0.3,180,1
"30",1,-0.0789873625383059,4.71768547953093,2,1,0.3,180,1
"31",2,-0.739161484166649,8.62515854469038,2,1,0.3,180,1
"32",2,-1.63167546201488,5.60382819136402,1,1,0.3,180,1
"33",2,-1.0979905554494,55.7621093697708,1,1,0.3,180,1
"34",2,-1.14477903379522,18.3185119551269,1,1,0.3,180,1
"35",2,-1.07982647356648,4.78274160829972,1,1,0.3,180,1
"36",2,-1.11403693001603,10.8453434294783,1,1,0.3,180,1
"37",2,-1.24410398105266,27.5521650568987,2,1,0.3,180,1
"38",2,-0.859859740759267,6.7534067136731,2,1,0.3,180,1
"39",2,-0.74603674948967,25.13559699341,2,1,0.3,180,1
"40",2,-1.0718050383607,7.8291066816848,1,1,0.3,180,1
"41",2,-0.937571667206712,44.448631486264,2,1,0.3,180,1
"42",2,-0.866044691816668,13.1003362160497,2,1,0.3,180,1
"43",2,-0.866346160251909,6.63291114291922,1,1,0.3,180,1
"44",2,-1.01907846841059,35.9405479258273,2,1,0.3,180,1
"45",2,-1.72215863994658,69.7867919473425,4,1,0.3,180,1
"46",2,-1.4270809798597,5.0019136322645,1,1,0.3,180,1
"47",2,-0.871255617040527,7.84999914804237,2,1,0.3,180,1
"48",2,-1.16676491315097,23.4767637908201,1,1,0.3,180,1
"49",2,-0.835612677864376,7.0131836513407,1,1,0.3,180,1
"50",2,-0.883779587027371,6.81448690199518,1,1,0.3,180,1
"51",2,-0.815250759432546,8.13578761502968,1,1,0.3,180,1
"52",2,-1.58152364626538,3.17990136013716,2,1,0.3,180,1
"53",2,-1.56609983911087,40.4411160955353,1,1,0.3,180,1
"54",2,-1.02872668103325,7.89099670359839,1,1,0.3,180,1
"55",2,-1.08070805430214,8.19368191768054,1,1,0.3,180,1
"56",2,-0.401573527534967,28.3030057221,2,1,0.3,180,1
"57",2,-0.899617489184244,29.508774317354,1,1,0.3,180,1
"58",2,-1.41880865584963,7.89889919287254,2,1,0.3,180,1
"59",2,-1.48636659065806,15.0930574569747,2,1,0.3,180,1
"60",2,-1.43353592126251,2.24206971663674,1,1,0.3,180,1
"61",3,0.9098096516426,5.70261482798522,2,1,0.3,180,1
"62",3,0.65285533225091,24.9341236098698,2,1,0.3,180,1
"63",3,0.71732233345333,15.4186215430771,1,1,0.3,180,1
"64",3,0.382400910846766,10.5800615859085,1,1,0.3,180,1
"65",3,0.360942250477495,12.0300136240964,1,1,0.3,180,1
"66",3,0.897459587796058,9.30768484781918,1,1,0.3,180,1
"67",3,0.509507905946006,40.4411671252419,1,1,0.3,180,1
"68",3,0.208659617094477,10.3487452686247,1,1,0.3,180,1
"69",3,0.518250041879864,10.0931066666608,2,1,0.3,180,1
"70",3,0.83294565892783,2.9769827216543,2,1,0.3,180,1
"71",3,1.25883245105088,5.78111282456751,3,1,0.3,180,1
"72",3,0.472545378513237,11.1849127835054,1,1,0.3,180,1
"73",3,0.270670023880243,39.2950611539321,2,1,0.3,180,1
"74",3,0.360242750510852,31.65520674527,1,1,0.3,180,1
